Event,Desc
UNC_Q_TxL_INSERTS,"Number of allocations into the QPI Tx Flit Buffer.  Generally, when data is transmitted across QPI, it will bypass the TxQ and pass directly to the link.  However, the TxQ will be used with L0p and when LLR occurs, increasing latency to transfer out to the link.  This event can be used in conjunction with the Flit Buffer Occupancy event in order to calculate the average flit buffer lifetime."
UNC_Q_TxL_OCCUPANCY,"Accumulates the number of flits in the TxQ.  Generally, when data is transmitted across QPI, it will bypass the TxQ and pass directly to the link.  However, the TxQ will be used with L0p and when LLR occurs, increasing latency to transfer out to the link. This can be used with the cycles not empty event to track average occupancy, or the allocations event to track average lifetime in the TxQ."
UNC_Q_TxL0_POWER_CYCLES,"Number of QPI qfclk cycles spent in L0 power mode in the Link Layer.  L0 is the default mode which provides the highest performance with the most power.  Use edge detect to count the number of instances that the link entered L0.  Link power states are per link and per direction, so for example the Tx direction could be in one state while Rx was in another.  The phy layer  sometimes leaves L0 for training, which will not be captured by this event."
UNC_Q_TxL0P_POWER_CYCLES,"Number of QPI qfclk cycles spent in L0p power mode.  L0p is a mode where we disable 1/2 of the QPI lanes, decreasing our bandwidth in order to save power.  It increases snoop and data transfer latencies and decreases overall bandwidth.  This mode can be very useful in NUMA optimized workloads that largely only utilize QPI for snoops and their responses.  Use edge detect to count the number of instances when the QPI link entered L0p.  Link power states are per link and per direction, so for example the Tx direction could be in one state while Rx was in another."
UNC_Q_TxR_AD_HOM_CREDIT_ACQUIRED.VN0,Number of link layer credits into the R3 (for transactions across the BGF) acquired each cycle. Flow Control FIFO for Home messages on AD.
UNC_Q_TxR_AD_HOM_CREDIT_ACQUIRED.VN1,Number of link layer credits into the R3 (for transactions across the BGF) acquired each cycle. Flow Control FIFO for Home messages on AD.
UNC_Q_TxR_AD_HOM_CREDIT_OCCUPANCY.VN0,Occupancy event that tracks the number of link layer credits into the R3 (for transactions across the BGF) available in each cycle.  Flow Control FIFO for HOM messages on AD.
UNC_Q_TxR_AD_HOM_CREDIT_OCCUPANCY.VN1,Occupancy event that tracks the number of link layer credits into the R3 (for transactions across the BGF) available in each cycle.  Flow Control FIFO for HOM messages on AD.
UNC_Q_TxR_AD_NDR_CREDIT_ACQUIRED.VN0,Number of link layer credits into the R3 (for transactions across the BGF) acquired each cycle.  Flow Control FIFO for NDR messages on AD.
UNC_Q_TxR_AD_NDR_CREDIT_ACQUIRED.VN1,Number of link layer credits into the R3 (for transactions across the BGF) acquired each cycle.  Flow Control FIFO for NDR messages on AD.
UNC_Q_TxR_AD_NDR_CREDIT_OCCUPANCY.VN0,Occupancy event that tracks the number of link layer credits into the R3 (for transactions across the BGF) available in each cycle. Flow Control FIFO  for NDR messages on AD.
UNC_Q_TxR_AD_NDR_CREDIT_OCCUPANCY.VN1,Occupancy event that tracks the number of link layer credits into the R3 (for transactions across the BGF) available in each cycle. Flow Control FIFO  for NDR messages on AD.
UNC_Q_TxR_AD_SNP_CREDIT_ACQUIRED.VN0,Number of link layer credits into the R3 (for transactions across the BGF) acquired each cycle.  Flow Control FIFO for Snoop messages on AD.
UNC_Q_TxR_AD_SNP_CREDIT_ACQUIRED.VN1,Number of link layer credits into the R3 (for transactions across the BGF) acquired each cycle.  Flow Control FIFO for Snoop messages on AD.
UNC_Q_TxR_AD_SNP_CREDIT_OCCUPANCY.VN0,Occupancy event that tracks the number of link layer credits into the R3 (for transactions across the BGF) available in each cycle.  Flow Control FIFO fro Snoop messages on AD.
UNC_Q_TxR_AD_SNP_CREDIT_OCCUPANCY.VN1,Occupancy event that tracks the number of link layer credits into the R3 (for transactions across the BGF) available in each cycle.  Flow Control FIFO fro Snoop messages on AD.
UNC_Q_TxR_AK_NDR_CREDIT_ACQUIRED,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. Local NDR message class to AK Egress.
UNC_Q_TxR_AK_NDR_CREDIT_OCCUPANCY,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  Local NDR message class to AK Egress.
UNC_Q_TxR_BL_DRS_CREDIT_ACQUIRED.VN_SHR,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. DRS message class to BL Egress.
UNC_Q_TxR_BL_DRS_CREDIT_ACQUIRED.VN0,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. DRS message class to BL Egress.
UNC_Q_TxR_BL_DRS_CREDIT_ACQUIRED.VN1,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. DRS message class to BL Egress.
UNC_Q_TxR_BL_DRS_CREDIT_OCCUPANCY.VN_SHR,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  DRS message class to BL Egress.
UNC_Q_TxR_BL_DRS_CREDIT_OCCUPANCY.VN0,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  DRS message class to BL Egress.
UNC_Q_TxR_BL_DRS_CREDIT_OCCUPANCY.VN1,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  DRS message class to BL Egress.
UNC_Q_TxR_BL_NCB_CREDIT_ACQUIRED.VN0,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. NCB message class to BL Egress.
UNC_Q_TxR_BL_NCB_CREDIT_ACQUIRED.VN1,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. NCB message class to BL Egress.
UNC_Q_TxR_BL_NCB_CREDIT_OCCUPANCY.VN0,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  NCB message class to BL Egress.
UNC_Q_TxR_BL_NCB_CREDIT_OCCUPANCY.VN1,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  NCB message class to BL Egress.
UNC_Q_TxR_BL_NCS_CREDIT_ACQUIRED.VN0,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. NCS message class to BL Egress.
UNC_Q_TxR_BL_NCS_CREDIT_ACQUIRED.VN1,Number of credits into the R3 (for transactions across the BGF) acquired each cycle. NCS message class to BL Egress.
UNC_Q_TxR_BL_NCS_CREDIT_OCCUPANCY.VN0,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  NCS message class to BL Egress.
UNC_Q_TxR_BL_NCS_CREDIT_OCCUPANCY.VN1,Occupancy event that tracks the number of credits into the R3 (for transactions across the BGF) available in each cycle.  NCS message class to BL Egress.
UNC_Q_VNA_CREDIT_RETURN_OCCUPANCY,Number of VNA credits in the Rx side that are waitng to be returned back across the link.
UNC_Q_VNA_CREDIT_RETURNS,Number of VNA credits returned.
UNC_R2_CLOCKTICKS,"Counts the number of uclks in the R2PCIe uclk domain.  This could be slightly different than the count in the Ubox because of enable/freeze delays.  However, because the R2PCIe is close to the Ubox, they generally should not diverge by more than a handful of cycles."
UNC_R2_IIO_CREDIT.ISOCH_QPI0,
UNC_R2_IIO_CREDIT.ISOCH_QPI1,
UNC_R2_IIO_CREDIT.PRQ_QPI0,
UNC_R2_IIO_CREDIT.PRQ_QPI1,
UNC_R2_IIO_CREDITS_ACQUIRED.DRS,"Counts the number of credits that are acquired in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the DRS message class."
UNC_R2_IIO_CREDITS_ACQUIRED.NCB,"Counts the number of credits that are acquired in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the NCB message class."
UNC_R2_IIO_CREDITS_ACQUIRED.NCS,"Counts the number of credits that are acquired in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the NCS message class."
UNC_R2_IIO_CREDITS_USED.DRS,"Counts the number of cycles when one or more credits in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the DRS message class."
UNC_R2_IIO_CREDITS_USED.NCB,"Counts the number of cycles when one or more credits in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the NCB message class."
UNC_R2_IIO_CREDITS_USED.NCS,"Counts the number of cycles when one or more credits in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the NCS message class."
UNC_R2_RING_AD_USED.CCW,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R2_RING_AD_USED.CCW_EVEN,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_R2_RING_AD_USED.CCW_ODD,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_R2_RING_AD_USED.CW,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R2_RING_AD_USED.CW_EVEN,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_R2_RING_AD_USED.CW_ODD,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_R2_RING_AK_BOUNCES.DN,Counts the number of times when a request destined for the AK ingress bounced.
UNC_R2_RING_AK_BOUNCES.UP,Counts the number of times when a request destined for the AK ingress bounced.
UNC_R2_RING_AK_USED.CCW,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R2_RING_AK_USED.CCW_EVEN,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_R2_RING_AK_USED.CCW_ODD,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_R2_RING_AK_USED.CW,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R2_RING_AK_USED.CW_EVEN,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_R2_RING_AK_USED.CW_ODD,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_R2_RING_BL_USED.CCW,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R2_RING_BL_USED.CCW_EVEN,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_R2_RING_BL_USED.CCW_ODD,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_R2_RING_BL_USED.CW,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R2_RING_BL_USED.CW_EVEN,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_R2_RING_BL_USED.CW_ODD,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_R2_RING_IV_USED.ANY,"Counts the number of cycles that the IV ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sent, but does not include when packets are being sunk into the ring stop."
UNC_R2_RING_IV_USED.CCW,"Counts the number of cycles that the IV ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sent, but does not include when packets are being sunk into the ring stop."
UNC_R2_RING_IV_USED.CW,"Counts the number of cycles that the IV ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sent, but does not include when packets are being sunk into the ring stop."
UNC_R2_RxR_CYCLES_NE.NCB,Counts the number of cycles when the R2PCIe Ingress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue
UNC_R2_RxR_CYCLES_NE.NCS,Counts the number of cycles when the R2PCIe Ingress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue
UNC_R2_RxR_INSERTS.NCB,Counts the number of allocations into the R2PCIe Ingress.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue
UNC_R2_RxR_INSERTS.NCS,Counts the number of allocations into the R2PCIe Ingress.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue
UNC_R2_RxR_OCCUPANCY.DRS,Accumulates the occupancy of a given R2PCIe Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the R2PCIe Ingress Not Empty event to calculate average occupancy or the R2PCIe Ingress Allocations event in order to calculate average queuing latency.; DRS Ingress Queue
UNC_R2_SBO0_CREDIT_OCCUPANCY.AD,"Number of Sbo 0 credits in use in a given cycle, per ring."
UNC_R2_SBO0_CREDIT_OCCUPANCY.BL,"Number of Sbo 0 credits in use in a given cycle, per ring."
UNC_R2_SBO0_CREDITS_ACQUIRED.AD,"Number of Sbo 0 credits acquired in a given cycle, per ring."
UNC_R2_SBO0_CREDITS_ACQUIRED.BL,"Number of Sbo 0 credits acquired in a given cycle, per ring."
UNC_R2_STALL_NO_SBO_CREDIT.SBO0_AD,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R2_STALL_NO_SBO_CREDIT.SBO0_BL,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R2_STALL_NO_SBO_CREDIT.SBO1_AD,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R2_STALL_NO_SBO_CREDIT.SBO1_BL,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R2_TxR_CYCLES_FULL.AD,Counts the number of cycles when the R2PCIe Egress buffer is full.; AD Egress Queue
UNC_R2_TxR_CYCLES_FULL.AK,Counts the number of cycles when the R2PCIe Egress buffer is full.; AK Egress Queue
UNC_R2_TxR_CYCLES_FULL.BL,Counts the number of cycles when the R2PCIe Egress buffer is full.; BL Egress Queue
UNC_R2_TxR_CYCLES_NE.AD,Counts the number of cycles when the R2PCIe Egress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Egress Occupancy Accumulator event in order to calculate average queue occupancy.  Only a single Egress queue can be tracked at any given time.  It is not possible to filter based on direction or polarity.; AD Egress Queue
UNC_R2_TxR_CYCLES_NE.AK,Counts the number of cycles when the R2PCIe Egress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Egress Occupancy Accumulator event in order to calculate average queue occupancy.  Only a single Egress queue can be tracked at any given time.  It is not possible to filter based on direction or polarity.; AK Egress Queue
UNC_R2_TxR_CYCLES_NE.BL,Counts the number of cycles when the R2PCIe Egress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Egress Occupancy Accumulator event in order to calculate average queue occupancy.  Only a single Egress queue can be tracked at any given time.  It is not possible to filter based on direction or polarity.; BL Egress Queue
UNC_R2_TxR_NACK_CW.DN_AD,AD CounterClockwise Egress Queue
UNC_R2_TxR_NACK_CW.DN_AK,AK CounterClockwise Egress Queue
UNC_R2_TxR_NACK_CW.DN_BL,BL CounterClockwise Egress Queue
UNC_R2_TxR_NACK_CW.UP_AD,BL CounterClockwise Egress Queue
UNC_R2_TxR_NACK_CW.UP_AK,AD Clockwise Egress Queue
UNC_R2_TxR_NACK_CW.UP_BL,AD CounterClockwise Egress Queue
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO_15_17,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 15&17
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO10,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 10
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO11,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 11
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO12,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 12
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO13,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 13
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO14_16,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 14&16
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO8,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 8
UNC_R3_C_HI_AD_CREDITS_EMPTY.CBO9,No credits available to send to Cbox on the AD Ring (covers higher CBoxes); Cbox 9
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO0,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 0
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO1,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 1
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO2,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 2
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO3,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 3
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO4,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 4
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO5,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 5
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO6,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 6
UNC_R3_C_LO_AD_CREDITS_EMPTY.CBO7,No credits available to send to Cbox on the AD Ring (covers lower CBoxes); Cbox 7
UNC_R3_CLOCKTICKS,"Counts the number of uclks in the QPI uclk domain.  This could be slightly different than the count in the Ubox because of enable/freeze delays.  However, because the QPI Agent is close to the Ubox, they generally should not diverge by more than a handful of cycles."
UNC_R3_HA_R2_BL_CREDITS_EMPTY.HA0,No credits available to send to either HA or R2 on the BL Ring; HA0
UNC_R3_HA_R2_BL_CREDITS_EMPTY.HA1,No credits available to send to either HA or R2 on the BL Ring; HA1
UNC_R3_HA_R2_BL_CREDITS_EMPTY.R2_NCB,No credits available to send to either HA or R2 on the BL Ring; R2 NCB Messages
UNC_R3_HA_R2_BL_CREDITS_EMPTY.R2_NCS,No credits available to send to either HA or R2 on the BL Ring; R2 NCS Messages
UNC_R3_IOT_BACKPRESSURE.HUB,IOT Backpressure
UNC_R3_IOT_BACKPRESSURE.SAT,IOT Backpressure
UNC_R3_IOT_CTS_HI.CTS2,Debug Mask/Match Tie-Ins
UNC_R3_IOT_CTS_HI.CTS3,Debug Mask/Match Tie-Ins
UNC_R3_IOT_CTS_LO.CTS0,Debug Mask/Match Tie-Ins
UNC_R3_IOT_CTS_LO.CTS1,Debug Mask/Match Tie-Ins
UNC_R3_QPI0_AD_CREDITS_EMPTY.VN0_HOM,No credits available to send to QPI0 on the AD Ring; VN0 HOM Messages
UNC_R3_QPI0_AD_CREDITS_EMPTY.VN0_NDR,No credits available to send to QPI0 on the AD Ring; VN0 NDR Messages
UNC_R3_QPI0_AD_CREDITS_EMPTY.VN0_SNP,No credits available to send to QPI0 on the AD Ring; VN0 SNP Messages
UNC_R3_QPI0_AD_CREDITS_EMPTY.VN1_HOM,No credits available to send to QPI0 on the AD Ring; VN1 HOM Messages
UNC_R3_QPI0_AD_CREDITS_EMPTY.VN1_NDR,No credits available to send to QPI0 on the AD Ring; VN1 NDR Messages
UNC_R3_QPI0_AD_CREDITS_EMPTY.VN1_SNP,No credits available to send to QPI0 on the AD Ring; VN1 SNP Messages
UNC_R3_QPI0_AD_CREDITS_EMPTY.VNA,No credits available to send to QPI0 on the AD Ring; VNA
UNC_R3_QPI0_BL_CREDITS_EMPTY.VN1_HOM,No credits available to send to QPI0 on the BL Ring; VN1 HOM Messages
UNC_R3_QPI0_BL_CREDITS_EMPTY.VN1_NDR,No credits available to send to QPI0 on the BL Ring; VN1 NDR Messages
UNC_R3_QPI0_BL_CREDITS_EMPTY.VN1_SNP,No credits available to send to QPI0 on the BL Ring; VN1 SNP Messages
UNC_R3_QPI0_BL_CREDITS_EMPTY.VNA,No credits available to send to QPI0 on the BL Ring; VNA
UNC_R3_QPI1_AD_CREDITS_EMPTY.VN1_HOM,No credits available to send to QPI1 on the AD Ring; VN1 HOM Messages
UNC_R3_QPI1_AD_CREDITS_EMPTY.VN1_NDR,No credits available to send to QPI1 on the AD Ring; VN1 NDR Messages
UNC_R3_QPI1_AD_CREDITS_EMPTY.VN1_SNP,No credits available to send to QPI1 on the AD Ring; VN1 SNP Messages
UNC_R3_QPI1_AD_CREDITS_EMPTY.VNA,No credits available to send to QPI1 on the AD Ring; VNA
UNC_R3_QPI1_BL_CREDITS_EMPTY.VN0_HOM,No credits available to send to QPI1 on the BL Ring; VN0 HOM Messages
UNC_R3_QPI1_BL_CREDITS_EMPTY.VN0_NDR,No credits available to send to QPI1 on the BL Ring; VN0 NDR Messages
UNC_R3_QPI1_BL_CREDITS_EMPTY.VN0_SNP,No credits available to send to QPI1 on the BL Ring; VN0 SNP Messages
UNC_R3_QPI1_BL_CREDITS_EMPTY.VN1_HOM,No credits available to send to QPI1 on the BL Ring; VN1 HOM Messages
UNC_R3_QPI1_BL_CREDITS_EMPTY.VN1_NDR,No credits available to send to QPI1 on the BL Ring; VN1 NDR Messages
UNC_R3_QPI1_BL_CREDITS_EMPTY.VN1_SNP,No credits available to send to QPI1 on the BL Ring; VN1 SNP Messages
UNC_R3_QPI1_BL_CREDITS_EMPTY.VNA,No credits available to send to QPI1 on the BL Ring; VNA
UNC_R3_RING_AD_USED.CCW,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R3_RING_AD_USED.CCW_EVEN,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_R3_RING_AD_USED.CCW_ODD,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_R3_RING_AD_USED.CW,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R3_RING_AD_USED.CW_EVEN,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_R3_RING_AD_USED.CW_ODD,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_R3_RING_AK_USED.CCW,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R3_RING_AK_USED.CCW_EVEN,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_R3_RING_AK_USED.CCW_ODD,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_R3_RING_AK_USED.CW,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R3_RING_AK_USED.CW_EVEN,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_R3_RING_AK_USED.CW_ODD,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_R3_RING_BL_USED.CCW,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R3_RING_BL_USED.CCW_EVEN,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_R3_RING_BL_USED.CCW_ODD,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_R3_RING_BL_USED.CW,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_R3_RING_BL_USED.CW_EVEN,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
